"name","address","category"
"SIS Nails & Beauty Bar","96/7 Yooyen Garden Ratchapruek (Opposite The Circle Ratchapruek), Ratchapruek Road, Khwaeng Bangramad, Bangkok, Thailand 10170","nails"
"Lash Cara Nail and Spa","The Terrest , 12 Soi Pradit Manutham 15, Lat Phrao, Bangkok 10230","nails"
"Infinity Nail Studio","255 Sukhumvit 21 Road, Asoke Infinity Nail Studio, Room 106, Khlong Toei Nuea, Watthana, Bangkok 10110","nails"
"Pretty Cozy Nail Cottage","522/3 2nd fl. Penny's Balcony, Soi Thonglor16, Sukhumvit 55 Road,  Klongton Nua, Bangkok 10110","nails"
"W Nails & Spa","253/3 (Lumpini Place 24) Soi Narathiwatratchanakharin 24, Chong Nonsi, Yan Nawa, Bangkok 10120","nails"
"Chic Nails @ Sukhumvit 49","Opposite to Samitivej Sukhumvit Hospital, JL House Building, 106 Soi Sukhumvit 49, Sukhumvit Rd., Klongtun Nua, Wattana, Bangkok 10110","nails"
"Marie's Brow and Lash Studio","3rd floor ,953 Community Mall, Soi.Sukhumvit 53 (Padi Madi), Klong Tan, Wattana, Bangkok 10110","nails"
"Nusalise Nail (Samrong Branch)","788 Village No. 5, Srinakarin Road, Samrong Nuea Subdistrict, Mueang Samut Prakan District, Samut Prakan 10270","nails"
"Sto-ry Nails","Robinson Bang Rak, BTS Saphan Taksin Bangkok 10500","nails"
"Something Glittery Nail Spa & Dry Bar","215,217 2nd The Park Avenue Private, KrungThep Kritha Rd, Hua Mak, Bang Kapi, Bangkok 10240","nails"
"Paint","The Street Ratchada on the 3rd Floor, Room Number #305","nails"
"Another Hair Cafe","52 Sena Nikhom 1 Road, Ladprao Bangkok 10230","nails"
"Wish Well Nails and Spa","Krongkan Pornpailin Business Point Onnut 17","nails"
"Nadia Nail & Spa","149 Moo 6, Salaya, Phutthamonthon, Nakhon Pathom 73170","nails"
"Beauty Nails & Spa","721 S.V. Place, Soi Chan Mueang (near Esplanade Ratchada), Ratchadaphisek Road, Khwaeng Din Daeng, Khet Din Daeng, Bangkok 10400","nails"
"Lash Beautyz","11-25 Hokankha Alley (MRT Huaykwang), Khwaeng Din Daeng,  Khet Din Daeng, Krung Thep Maha Nakhon 10400","nails"
"Seoul Cute Beauty Spa and Cafe","29 / 70-72 Soi Soonvijai (RCA), Bang Kapi, Huai Khwang , Bangkok 10310","nails"
"Beauty More Hair&Nail Salon","444 MBK CENTER 1st Floor, (Near BurgerKing) , Payathai Road, Wang Mai, Pathum Wan District, Bangkok 10330","nails"
"Milk Kid's Salon & Nails","Centralworld 2nd floor, Forum Zone.  999/9 Rama I Rd, Pathum Wan, Pathum Wan, Bangkok 10330","nails"
"Nail Villa & Spa Cottage","369/1 Chamnian Soem Alley, Khwaeng Wang Thonglang, Khet Wang Thonglang, Krung Thep Maha Nakhon 10310","nails"
"Hy.gge Nails and Spa","189/1 Midtown asoke 1st floor, Asoke montez Rd.,Wattana, Klong Toey Nue, Bangkok 10110","nails"
"Beauty Story (Promenade Branch)","589, The Promenade, 2nd Floor, Rarm Intra Road, Khanna Yao, Khet Khanna Yao, Bangkok, 10230","nails"
"Samsara Nails","120/1, 1st Floor A-Square, Sukhumvit 26 Road, Klongton,  Klongtoey, Bangkok 10110","nails"
"Grace’s Cosmetology","33 Nak Niwat Rd, Khwaeng Lat Phrao, Khet Lat Phrao, Bangkok 10230","nails"
"D nails & more","1 Soi Ramkhamhaeng 24 24 Yaek 20, Hua Mak, Bangkapi, Bangkok 10240","nails"
"Al Safiyyah (The Circle Ratchapruek)","39 Ratchaphruek Rd, Taling Chan, Khet Taling Chan, Krung Thep Maha Nakhon 10170","nails"
"Center De Beaute (Fashion Island Branch)","3rd Fl. of Fashion Island Shopping Mall, Khan Na Yao, Bangkok 10230","nails"
"Head2Toe (Chatrium Hotel)","26 Chatrium Riverside, Soi 70 Charoen Krung Road, Bangkholaem, Bangkok, 10120","nails"
"Hello Tokyo (Bang Yai)","Hello Tokyo Nail Spa, Plai Bang, Bang Kruai District, Nonthaburi 11130","nails"
"Nail Gemini by Mint","MRT Suthisan, Meaung Thai Pat, Bangkok, Thailand, 10310","nails"
"Fe Nail Boutique & Spa","2790/18 Thru Thonglor Condo New Petchburi Rd., Bangkapi, Huay Kwang, Bangkok 10310","nails"
"Honeybeezz's Home Nail Spa","57 Suan Lamthong Village 2 Pattanakarn 28 Suanluang BKK 10250","nails"
"Cozzy Beauty","45 Moo 8, Soi Ladprao 71, Ladprao Road, Saphan Song Subdistrict, Wang Thonglang District, Bangkok 10310","nails"
"Tropical Nails Bar","80 petchpraram rd. Bangkapi huaykwang bangkok 10310","nails"
"InBalance Spa","NOVOTEL HUA HIN CHA AM BEACH RESORT & SPA  854/2 Burirom Road, Cha Am Beachfront, Petchaburi , 76120 Hua Hin, Thailand","nails"
"Nail Box","119/193-194  Thaisomboon Square, Phrapradaeng, Suk sawat Road, Samut Prakarn 10130","nails"
"Finailly Nail Spa & More","In front of Sarasas Witaed Suvarnabhumi 111/4 Moo 5 Bang Phli - Nham Deang Rd., Bang Phli Yai, Bang Phli, Samut Prakan 10540","nails"
"We2Nails","32 Udom Suk Alley, Samsen Nok, Huai Khwang, Bangkok 10310","nails"
"Yellow Nail'O Nail Studio","45 Soi Pracha Rat Bamphen, Din Daeng, Bangkok 10400","nails"
"Nailand Spa By Gift","750/878 m00.9 Bearing, samronghe, Mueang Samut Prakan 10270","nails"
"LASH OUR","A111 The Coast Village Bang Na, Bangkok 10260","nails"
"Viola Nail Spa","402/10 J.W.Boulevard Condo,Sri Wara Road,Wang thonglang Bangkok 10310","nails"
"Diva Health and Spa","1st Floor, Gateway Ekamai , 982/22 Sukhumvit Rd, Khwaeng Phra Khanong, Khet Khlong Toei, Bangkok 10110","nails"
